CTR_MN_ISO,CTR_MN_NM,ID_HDC_G0,P15,UC_NM_LST,UC_NM_MN,date,mean
ARG,Argentina,962,441985.894928,San Juan,San Juan,2024-09-01,5.152734239288748e-09
ARG,Argentina,966,937975.566467,Mendoza,Mendoza,2024-09-01,4.957742310702101e-09
ARG,Argentina,967,222796.598145,San Salvador de Jujuy,San Salvador de Jujuy,2024-09-01,3.322315977882795e-09
ARG,Argentina,969,506599.24321,Salta,Salta,2024-09-01,5.064435182333682e-09
ARG,Argentina,974,188613.244995,La Rioja,La Rioja,2024-09-01,1.7195623813748284e-09
ARG,Argentina,975,79019.9732666,San Martin,San Martin,2024-09-01,7.171208515899252e-09
ARG,Argentina,980,93398.6966553,San Ramon de la Nueva Oran,San Ramon de la Nueva Oran,2024-09-01,1.1452086390306704e-08
ARG,Argentina,991,846925.033127,San Miguel de Tucuman,San Miguel de Tucuman,2024-09-01,6.241519432605777e-09
ARG,Argentina,994,139674.251831,Yacuiba,Yacuiba,2024-09-01,1.1877520300629385e-08
ARG,Argentina,996,180028.134653,San Fernando del Valle de Catamarca,San Fernando del Valle de Catamarca,2024-09-01,4.067984171740591e-09
ARG,Argentina,1003,153060.896271,San Rafael,San Rafael,2024-09-01,3.05754288554283e-09
ARG,Argentina,1008,107350.702148,San Carlos de Bariloche,San Carlos de Bariloche,2024-09-01,
ARG,Argentina,1010,385153.541821,Santiago del Estero; La Banda,Santiago del Estero,2024-09-01,3.3513132269291646e-09
ARG,Argentina,1014,174996.232971,San Luis,San Luis,2024-09-01,2.8550879438427046e-09
ARG,Argentina,1033,89863.24646,Villa Mercedes,Villa Mercedes,2024-09-01,3.2735443245002216e-09
ARG,Argentina,1035,1365994.51981,Cordoba,Cordoba,2024-09-01,5.48264633692952e-09
ARG,Argentina,1036,215146.092712,Neuquen,Neuquen,2024-09-01,2.720020875202067e-09
ARG,Argentina,1040,78184.2124023,General Roca,General Roca,2024-09-01,2.4888813232593066e-09
ARG,Argentina,1043,125547.223572,Rio Cuarto,Rio Cuarto,2024-09-01,5.142751113851318e-09
ARG,Argentina,1046,83757.1130371,Villa Maria; Villa Nueva,Villa Maria,2024-09-01,7.545611246939643e-09
ARG,Argentina,1049,90143.762085,Presidencia Roque Saenz Pena,Presidencia Roque Saenz Pena,2024-09-01,4.4014454303464845e-09
