UC_NM_MN,label,2024-09-01,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-07,2024-09-08,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-16
Cidade,01/09 – 16/09,,,,,,,,,,,,,,,,
Porto Velho (RO),,127.28736464850954,122.77402561267081,171.1801900228238,86.68604323247565,93.04665837817085,94.36808312557334,112.38638109034584,108.64397381737945,122.23415524204029,98.07593670529968,90.46266313816886,52.77733094999349,55.676032673090965,76.40676358278142,100.28364272329783,93.80483589893629
Rio Branco (AC),,109.37197458815717,75.00418774952777,104.0451564904288,138.71208182081318,81.74803411975519,100.10192141862717,139.07325069340004,120.81586930889898,185.7141000982665,120.57074627591646,98.44033854733425,73.27096795961553,38.94940903137467,42.651773668467285,81.7491212501409,57.41062025776956
Cuiabá (MT),,37.136314579022674,33.126154930229745,15.595947533419974,22.578757641333883,48.17688359359806,59.752337078222695,28.985016387039764,17.099893723226952,17.975004595882638,28.973585475267072,38.562611881509675,36.553767568392466,65.84835221534746,63.06585709214829,95.74643811127714,55.64637184374278
Campo Grande (MS),,18.824623637669905,33.79762247845974,6.123705098559641,7.747383179435019,65.23068663000231,29.088059960713508,28.755817282899443,15.739145098336852,24.726407588104852,23.31015913625833,26.374575412546623,21.425353935455863,73.20249295617033,69.90648415694524,86.39695892043164,38.63200603859696
São Paulo (SP),,29.977943281654394,27.51305695862053,58.205117591535746,45.67544672690255,30.15811853086032,10.366972788041815,32.63074632226588,63.98481394432598,68.386644140143,53.23666016992049,30.239249103079537,16.358062772649486,19.56680538747243,16.35632924245766,27.471603119082562,11.597250014637615
Rio de Janeiro (RJ),,34.053316261391394,19.595520676545526,32.2196220530958,39.500232437174354,27.108470673893756,15.38472583371473,28.923748351477563,24.862563091052706,26.601358808391602,21.217842008192573,14.233758436674597,14.790078098406923,15.387682182828232,22.911102745489586,43.46324474792413,35.8936058180679
Curitiba (PR),,21.06659096057228,24.271822240962134,18.423076753038,21.333845623416888,32.24841762516917,17.950673480982005,30.2374211003098,37.035728439605,35.38354533816346,40.89687308805878,26.438531364192382,13.806300991348053,15.794070762353838,52.856908183684936,12.968397378188,2.0745730466842356
Manaus (AM),,17.02419958540056,38.2583771531906,27.54815381871884,15.733376460244388,22.900905252950825,38.057495740676224,20.423731715947152,11.415124360909928,16.879107727680257,25.10819592642251,14.65851133404654,13.129865598800324,11.178335913474383,20.951885236864992,22.206233135141872,31.78608083813246
Porto Alegre (RS),,13.558349709102837,9.448870626495717,10.49591977155662,8.159630573279468,9.289995832038459,10.238776503637498,19.33783609727967,12.740885597197098,9.353671738962962,31.454909416157896,29.964628194732562,30.17881502321257,63.3382598255932,40.17618725560021,6.106266025118509,8.053118977870303
Florianópolis (SC),,20.30227292948439,9.750762508531352,10.665398342268873,22.126254251020328,12.407706861949917,8.747425361832484,11.016970624666557,27.54096648516224,17.062723856042794,20.79177541247645,24.112976859669285,32.438352093322464,29.174267623943713,40.17395411892721,5.5506808038785485,5.757163279440647
Belo Horizonte (MG),,8.321188748151473,17.032488389387172,29.857135672919163,34.03240372341026,30.718046934391,28.772412654441066,15.861811904342588,21.585042117325514,15.39541762760812,13.896411294405715,5.9869286901785435,6.62494801442002,6.033852276407264,8.619619846166932,16.074910735852654,10.79784899877206
Palmas (TO),,7.474397101248087,7.15969195042021,6.719704792601533,7.726731254820152,10.471779887666344,13.493646200402054,13.928395325990552,10.726123989002192,6.3281251350133525,9.624743668723568,10.894901869562544,47.52964954946037,28.176108557431693,14.883402954524172,13.635314211057905,18.60030707234728
Boa Vista (RR),,10.819025576659492,9.894495099792444,9.4883562735188,8.331139037901872,12.441079475264711,9.896643603389698,11.991466881195516,12.00563303093026,10.3475900440723,12.556365626260737,17.634055006333764,11.871376671813827,12.90452456004232,11.359803369575475,9.736729250025492,11.838638119204209
Salvador (BA),,10.514141202122573,11.8257427406121,14.939910863986938,12.32903059644741,14.043001694830082,12.510540514654167,10.739853628649598,11.29437912084086,9.853761895328716,10.121316051936445,9.08631143659022,9.455557758997205,10.577285358692734,11.008094347175756,11.89301350734695,9.289137992141152
Teresina (PI),,9.389395377603531,12.134545558849045,15.054731852682748,12.455994415799545,14.667415726421495,8.879575212683037,10.570078357559288,9.750706485620176,8.682935259685111,11.068326953380037,12.314705318975225,7.524218200874851,6.140149320205389,15.368305400762612,11.031082375587802,9.333192758325431
Brasília (DF),,4.5976511486856,7.168618143538197,8.117225114290251,7.808461433000957,24.568675982550303,25.15104924327716,13.586624270089942,10.974288144893762,10.590770926910409,8.393131523121156,5.111563616821968,4.103743567185347,4.782601426001065,5.083512277792579,4.554226329389621,7.482476860332099
Vitória (ES),,13.71456459509091,8.385499088754093,17.60756201158691,21.28150176718334,16.037486513401486,11.193900536657761,11.694363699632506,8.282397053907937,8.89067765440034,7.828640846696544,4.406497611242344,5.317343961966767,5.619857277951366,7.68901513887548,7.200453439842086,5.4021709010904875
Goiânia (GO),,4.717552090319892,5.932737383330102,6.287509660459639,8.294251930083115,14.330247269332979,22.643199490276544,16.640733847350287,15.162295404641812,11.97918774012384,7.991665675305859,7.316052157533681,2.8304741647039715,5.748342224807101,4.588939763702462,3.727672378423248,5.587609821099786
São Luís (MA),,9.345632712154384,9.16671805128999,8.462072820236699,7.341720120734862,9.182196336610104,9.56606083235556,9.827313185439834,10.195192245987528,8.850623345324493,10.511103099020149,9.682172397162958,7.829783932322698,7.812967162124096,8.345969249035079,9.235477271829497,8.482727409386825
Maceió (AL),,7.3483452409403895,9.334026095252232,10.514330245964882,10.439739344608116,9.323596709502151,8.63258728698055,8.649914661083988,8.593853924783922,7.882767574487717,9.33402510838732,8.496663422224376,7.546361609674552,8.708433381817333,8.057244155818607,8.374256054032179,8.161929009197088
Fortaleza (CE),,9.328561922927749,7.5005424093888,7.8341484410771045,8.941031026665769,9.141103873844258,9.036688730645892,10.087414459292177,8.819290187034312,8.222404090929558,9.862192840159878,8.660191674891848,8.03591948539406,7.779194177714999,8.06302047351437,8.733276324335293,8.313261190551202
Natal (RN),,8.251452321417217,7.197836726646756,7.550062086636445,8.225693548524761,8.852557324227442,8.320200410120531,10.226117611959276,7.7621407671794405,9.393009037239606,10.087360043560995,8.764097891855727,7.986404278644461,7.301209562863657,8.453730397188036,8.270160319530836,10.055003111612374
Recife (PE),,7.146878134837839,6.81252420595909,9.741382360142909,10.647502668255166,8.343005150123405,7.0716095274618604,9.772954918917954,7.215016292977292,8.426309355187543,9.262254584437185,7.397934403508183,7.888047737760531,7.998087365443613,7.550865229980625,7.604281896334907,8.24379069926084
João Pessoa (PB),,7.593246031945,7.758298004034714,9.616605289863855,9.561906821886625,7.3563395375231275,7.755541098219965,9.920550603226276,6.9503287569716585,8.704962084493673,9.022750546705538,7.663833123672248,7.660319489843914,7.594382900322216,7.530443824066424,7.478164754104455,8.166551879185135
Belém (PA),,9.297310223286914,9.57834421301738,12.178804123915857,7.348999123532199,7.369966795575269,6.642637297358891,7.876627731003995,9.408292557720543,8.79854462303748,9.39171711828684,8.381199099817747,8.072000337985433,5.884293877552895,6.855005959697076,6.718585941557973,6.960819983906471
Macapá (AP),,8.891780645114977,8.998594758224954,8.091151748601533,8.022263742191171,7.301185878105798,6.473011460172984,7.3103008091379715,8.079174662611877,8.275751639530426,8.54135784322807,7.022912917875601,8.539868368018233,6.2483835883142556,6.6049441471704995,6.128753504697215,6.460892265636176
Aracaju (SE),,5.774878353292934,12.1789947016282,12.456644604696976,10.25735052451182,10.224583846252244,9.72765956674948,7.914112920559546,8.905372439471648,7.934762180639154,9.100604714262772,7.231578003086271,8.585890221013415,9.31371157975036,7.988921524315629,7.7205237758448675,6.8728240876225755
